,news_url,title,no_of_retweets,label
43,thedailymash.co.uk,"Charlie Hebdo, we love you",417,0
44,pressahmadiyya.com,"Our sympathies &amp; prayers are with the victims, their families &amp; the French people.  #Ahmadiyya Muslims totally condemn murder #CharlieHebdo",128,0
45,sukh.co,"I don't support the cartoons or language published by publishers BUT #CharlieHebdo attack is indeed ""sickening"". 11 dead in #terrorattack",374,0
46,hscentre.org,Freedom of expression should never be an act of bravery. Whoever threatens it is an enemy of all freedom-loving people. #CharlieHebdo,139,0
47,cartoonmovement.com,Our thoughts go out out to people at Charlie Hebdo and their families. Senseless violence is never the answer. http://t.co/YGscPqvtYM,335,0
48,NBCNews.com,France raises national alert system to highest level after attack at Charlie Hebdo HQ http://t.co/TyRyAhzSPP http://t.co/cWYQCmwg0z,224,0
49,steveclark.co.uk,"I do not agree with what you have to say, but I'll defend to the death your right to say it - Voltaire #CharlieHebdo http://t.co/Mbn5SiWA7Z",281,0
50,ninaburleigh.com,"""100 lashes if you don't die of laughter."" Eleven people killed over this. #Paris #CharlieHebdo http://t.co/87cB3mWVAQ",252,0
51,heresycorner.blogspot.com,How to respond to the murderous attack on Charlie Hebdo? Every newspaper in the free world should print this. http://t.co/sC2ot63F6j,228,0
52,anntelnaes.com,There is never justification for violence because one is offended by a cartoon. Ever. #CharlieHebdo http://t.co/RhBpC5Iwh9,243,0
53,monocle.com/radio/shows/th…,"Worth remembering Jens Stoltenberg's words after Utøya: ""Our response is more democracy, more openness and more humanity"" #CharlieHebdo",562,0
54,agnespoirier.org,#CharlieHebdo Attack. I have just been asked by AlJazeera if CharlieHebdo journalists should apologize (for making fun at Islamists).,1522,0
55,foxnews.com,LATEST: At least 11 dead in shooting at French magazine #CharlieHebdo; France raises terror alert to highest level http://t.co/JVRjF5b1lw,278,0
56,eurasiacat.wordpress.com,#France has a problem (and quite a serious one) #CharlieHebdo http://t.co/H15l2ARF3d,113,0
57,dailymail.co.uk,Masked gunmen pictured near #CharlieHebdo offices http://t.co/Zvfj25EnEc http://t.co/qTWhoLqICk,127,0
58,aei.org/scholar/100082,Fact: Most every journalist in India will stand with #CharlieHebdo. But not one publication will reprint their most controversial work.,580,0
59,mcb.org.uk,"We condemn the attack on #CharlieHebdo Whomever the attackers are, and whatever the cause may be, nothing justifies the taking of life",361,0
60,tom-holland.org,The right 2 draw Muhammad without being shot is as precious to many of us as Muhammad is to the #CharlieHebdo killers http://t.co/QeDw4tRoK9,1642,0
61,brownsahiba.blogspot.in,"The 2011 issue of Charlie Hebdo, whose cover featured Mohammed. http://t.co/eSflYdFBRH",220,0
62,bbc.co.uk/newsgraphics,Map shows where gun attack on satirical magazine #CharlieHebdo took place in central Paris http://t.co/5AZAKumpNd http://t.co/ECFYztMVk9,662,0
63,ATEEKSTER.com,"Quran says: Whoever kills an innocent soul.. it is as if they had killed the entire humanity.
#CharlieHebdo #Paris http://t.co/UinZ805MpA",642,0
64,el-baghdadi.com,"Showing solidarity with the victims is necessary, but not enough. We must insist to coexist, and reject those who don't. #CharlieHebdo",441,0
65,skynews.com,Video has emerged showing the moment gunmen opened fire at #CharlieHebdo's HQ in Paris. http://t.co/ZRSbE9Fc1L http://t.co/tE7KwlhuSN,156,0
66,bit.ly/BenjaminWeinth…,I wish that all news outlets publish #CharlieHebdo 's cartoons/satire tomorrow on their front pages as a tribute to the dead. RIP,212,0
67,gautamchikermane.wordpress.com,"Forget truth, today even satire is unacceptable.
#CharlieHebdo",187,0
68,facebook.com/kauladityaraj,"I do not agree with what you have to say, but I'll defend to the death your right to say it - Voltaire #CharlieHebdo http://t.co/5fzKhE1LdJ",155,0
69,ynetnews.com,Headline from #CharlieHebdo this week: ISIS executes Phorphet Mohamed; police chase terrorists http://t.co/4qqVIjLP8A http://t.co/1zJuiZVLf3,109,0
70,markthomasinfo.co.uk,"Bad bad day for press freedom, freedom of expression and satire. 
Thoughts with relatives of victims at #CharlieHebdo",217,0
71,mjrharris.co.uk,"I've seen one national newspaper pixelate out the cover of Charlie Hebdo - the self-censorship begins. Terrorists 1, Enlightenment 0",295,0
72,nytimes.com,From 2011: France's Charlie Hebdo newspaper has long reveled in the art of provocation http://t.co/etWcBzHpnl,194,0
73,tommyrobinson.co.uk,Time to #TakeAStand #IAmCharlieHebdo #CharlieHebdo http://t.co/V9ZUa4VRJy,219,0
74,blogs.euobserver.com/debeuf/,Wide and uncompromising condemnations on Arab Twitter of insane attack on #CharlieHebdo - I hope everyone sees this. Don't focus on fools.,194,0
75,petertatchell.net,Condolences to staff at Charlie Hebdo &amp; their loved ones. They stood for free speech &amp; paid with their lives.  I stand with #CharlieHebdo,142,0
76,telegraph.co.uk,What we know about the gunmen in the #CharlieHebdo attack: http://t.co/z4xLMmeDl5 (Pic: Gelbard/AFP/Getty) http://t.co/KKtg9fGeba,154,0
77,abc.net.au/pm,Never was it more appropriate to say “F*** ‘em if they can’t take a joke”. Charlie Hebdo an absolute equal opportunity offender of satire.,152,0
78,nothingtoenvy.com,Good backgrounder from The New Yorker from 2012: The Charlie Hebdo Affair: Laughing at Blasphemy http://t.co/LDwDceoxFg,140,0
79,brookings.edu/about/centers/…,"It is speculative, but judging by video &amp; imagery from scene of #CharlieHebdo attack, these gunmen are not amateurs - they look experienced.",132,0
80,dailymail.co.uk,"Journalists, admin staff and police officers among those injured in #CharlieHebdo attack http://t.co/cMsu4ASQjl http://t.co/zqkHLJK5b9",196,0
81,soundcloud.com/an0nkn0wledge,"RAW VIDEO (WARNING GRAPHIC):
Terror Attack on Charlie Hebdo Paris Headquarters:
https://t.co/QZo3WBXHfD via @NomaNescio 
#ParisShooting",162,0
82,curtisbrown.co.uk/jonny-geller/,"Killing writers and journalists and cartoonists will not silence them but make their voices louder.
#CharlieHebdo",113,0
83,jackfxmoore.com,Do not share the video of masked gunmen at #CharlieHebdo offices executing a police officer. It is barbaric &amp; his life should be respected.,365,0
84,el-baghdadi.com,Attempts to extend blame for this to all Muslims should be treated with the same disgust as attempts to justify the attacks. #CharlieHebdo,876,0
85,ConflictReport.info,"#Picture
IS terrorist scum executes injured police man in #Paris.
#CharlieHebdo http://t.co/wov8G7GL0b",102,0
86,theguardian.com,Satirical French magazine #CharlieHebdo attacked by gunmen: latest news report http://t.co/gjTbTOQIMo http://t.co/IIKBOs2Puk,276,0
87,hrw.org,#CharlieHebdo: Nothing can justify attack &amp; those who organised &amp; committed these crimes should be brought to justice http://t.co/eoDTplTQll,717,0
88,el-baghdadi.com,"As a Muslim, killing innocent people in the name of Islam is much, much more offensive to me than any cartoon can ever be. #CharlieHebdo",42527,0
89,reason.com/blog,Oh God my heart is sick at this Charlie Hebdo news. One of the only brave newspapers in the world.,102,0
90,jesusandmo.net,In sympathy and solidarity with @Charlie_Hebdo_  #CharlieHebdo http://t.co/W2CBdVJ0k6,354,0
91,AbiePB.squarespace.com,"When an ideology resorts to murdering satirists, it is publically admitting how weak, insecure &amp; ridiculous it is. #CharlieHebdo",155,0
92,bbc.com/news,Follow this list for journalists &amp; media outlets covering the attack on #CharlieHebdo magazine in Paris: http://t.co/6njHXoEbq4,201,0
93,councilofexmuslims.com,Lets play a game. This will be blamed on (a) Racism of Charlie Hebdo (b) Poverty (c) Colonial France (d) Evil of Free Speech,106,0
94,Golfmadchick.com,"Even for a hardened news man, today's mass shooting at #CharlieHebdo is ferociously shocking - writes @JonSnowC4 http://t.co/AcIzmQcx0a",119,0
95,unesco.org,Attack on #CharlieHebdo:The intl community cannot allow extremists to silence the free flow of opinions http://t.co/1BgO8HRRbf #pressfreedom,748,0
96,radiosawa.com,#CharlieHebdo in the eyes of #CharlieHebdo http://t.co/v195erxsY2,153,0
97,bit.ly/ezraeeman,RT #JeSuisCharlie In support of #CharlieHebdo. http://t.co/EvNntxSRIc,436,0
98,edwardlucas.com,why has daily telegraph pixelated this Charlie Hebdo cover? Shameful  http://t.co/GsU6a91szT,165,0
99,amnesty.org.uk,"The shooting at French magazine #CharlieHebdo is a hideous attack on free speech, not just in Paris but everywhere",108,0
100,el-baghdadi.com,"The extremists will benefit from an escalation, it justifies them. People who just want to coexist are thrown under the bus. #CharlieHebdo",503,0
101,cnn.com,"Gunmen in #CharlieHebdo attack are on the loose, ""will (be) chased as long as necessary,"" French President says. http://t.co/zUfxcG3Rfs",579,0
102,aljazeera.com,Video: #CharlieHebdo's editor tells Al Jazeera why they are a target [2012] http://t.co/EJK2Em0M8R http://t.co/UK970UDPPz,193,0
103,leninology.co.uk,"TWITTER.  Charlie Hebdo is a racist publication.  Murderers murdering people are not justified in murdering people. Crazy paradox, I know.",103,0
104,amazon.co.uk/John-OFarrell/…,"This cartoon by Robert Mankoff from The New Yorker Sept 2012.
#CharlieHebdo http://t.co/pyQfnV42Su",5996,0
105,damienowens.com,The events at #CharlieHebdo won’t make me discriminate against Islam. I will remain steadfast in finding all religions equally stupid.,126,0
106,thepoke.co.uk,You can't kill free speech #CharlieHebdo,284,0
107,macrosight.tumblr.com,"Only this, today #CharlieHebdo http://t.co/QXfYkDwBtd",376,0
108,usatoday.com,"""Terror"" in France: Gunmen in #CharlieHebdo attack still at large. What we know so far http://t.co/Jfqmha1GdV (Getty) http://t.co/2QyDcbE7P6",157,0
109,rupertmyers.com,"A sad day for France, for journalism, for free speech, and those whose beliefs the attackers pretend to represent  #CharlieHebdo",142,0
110,adambellick.com,French media says cartoonist behind original Prophet cartoon is dead #CharlieHebdo via @EricWRandolph,107,0
111,mirabilis-yearofwonders.com,"People who have actually died of being offended: 0
People who have died because others were offended: far too many.
#CharlieHebdo",257,0
112,PzFeed.com,Journalists and others using #JeSuisCharlie to express support for freedom of speech after Paris attack http://t.co/OSzSvL3pKy,398,0
113,jonathanwitt.wordpress.com,Stop making excuses for terrorists. #CharlieHebdo tweeted this before Christmas and there'll be no avenging Jesus. http://t.co/BS3Z759LLx,118,0
114,andrewstroehlein.com,My timeline is full of Muslims condemning #CharlieHebdo attacks - just like the rest of the world.,865,0
115,kenanmalik.wordpress.com,"Second thought: Only way to pay respect to those who died is by defending the rights that Charlie Hebdo defended, and in as upfront a way.",152,0
116,topics.nytimes.com/top/reference/…,"Before the brutal attacks on #CharlieHebdo, the big news today was Houellebecq's new novel imagining a Muslim president of France in 2022.",152,0
117,independent.co.uk,"Here's what we know about the #CharlieHebdo attack so far
http://t.co/MUwOzTP7kI http://t.co/b8UzO0Gz5W",116,0
118,cpj.org,"Attack on #CharlieHebdo is ""brazen assault on free expression in the heart of Europe"" says @RobertMMahoney http://t.co/K7qmDH22IH",103,0
119,timesofisrael.com/writers/ilan-b…,"In reporting the #CharlieHebdo terrorist attack, @Telegraph blurs out the French mag's cover cartoon of Mohammed http://t.co/8SDCsSVlc8",473,0
120,harunyahya.com,We condemn the attack in #Paris and pray for soonest recovery for the injured and patience to families &amp; people of France. #CharlieHebdo,108,0
121,TarekFatah.com,"Just waiting for @BarackObama, @David_Cameron and @JustinTrudeau to say: ""#CharlieHebdo massacre in Paris had nothing to do with Islam.""",285,0
122,linkedin.com/in/jonnnybest,No more hand-wringing and fence-sitting. To support #CharlieHebdo and #FreedomOfSpeech we must publish their images. http://t.co/N2M2bzT6ao,293,0
123,theguardian.com/profile/claire…,#CharlieHebdo: what we know so far http://t.co/7GgpZ4tKlF http://t.co/yMGSiOnl3H,196,0
124,theguardian.com,#CharlieHebdo shooting: what we know so far http://t.co/6YUX5mot92 http://t.co/nC9fYCh6qd,684,0
125,bbc.co.uk/5live,"Shooting at #CharlieHebdo ""an attack on freedom"", says Dominque Moisi, Parisian political analyst: http://t.co/B3AvGBwp82",124,0
126,skynews.com,"World leaders condemn the #CharlieHebdo attack as ""barbaric"", ""sickening"" and ""intolerable"". http://t.co/c05qiB7eIu http://t.co/HaijRrbwlz",137,0
127,daveschneider.co.uk,"Horrific news re Charlie Hebdo. People of huge courage, wit and integrity murdered by people who find those ideas frightening. Awful.",242,0
128,baghdadinvest.com,"Killing innocent people in the name of Islam is much, much more offensive to me than any cartoon can ever be. #CharlieHebdo",413,0
129,RT.com,#CharlieHebdo massacre: 'Attack will heighten anti-Islamic tensions across Europe' http://t.co/1EBlSuVTWe,138,0
130,usatoday.com,"Hours before the attack, #CharlieHebdo published a cartoon featuring the Islamic State: http://t.co/Jfqmha1GdV (epa) http://t.co/yeWyZxIdHH",148,0
131,smsfcoach.com.au,If we submit to extremists this Cartoon by Robert Mankoff from The New Yorker will be the norm. #CharlieHebdo http://t.co/sNMbQVPlqJ,226,0
132,bbc.com/trending,Thousands tweeting #JeSuisCharlie in support of #CharlieHebdo. http://t.co/GfdXTw6jgl,449,0
133,theguardian.com/profile/owen-j…,"If we hate after atrocities like this, we're doing exactly what the perpetrators want us to do #CharlieHebdo",1082,0
134,instagram.com/afpphoto,The car used by armed gunmen who stormed the Paris offices of satirical newspaper #CharlieHebdo Photo D. Faget #AFP http://t.co/ZBkDglcBcE,269,0
135,parazhit.com,Pray for the victims. Deadly terrorist attack on French magazine Charlie Hebdo in Paris #FreePress http://t.co/HCEG92Zxtz,117,0
136,el-baghdadi.com,"This doesn't represent all Muslims, but, sorry, it does represent the official Islamic school of a certain key Arab state. #CharlieHebdo",804,0
137,maajidnawaz.com,RIP #CharlieHebdo jihadist terrorist victims.This is why I'd tweeted it was so important for Muslims to openly *not* be offended by cartoons,221,0
138,spia.uga.edu/directory/stud…,"""I do not agree with what you have to say, but I'll defend to the death your right to say it."" -Voltaire #FreeSpeech  #JeSuisCharlie",351,0
139,godlessutopia.com,"Deeply disturbed and saddened by yet another Islamist massacre. 
Shame on religion.  #CharlieHebdo #ParisShooting
. http://t.co/H6yPad7bWD",104,0
140,buzzfeed.com/sheerafrenkel/,Single finger raised by #CharlieHebdo gunman looks like what ISIS fighters often do in battle. http://t.co/6GmumrBndC CC @EliotHiggins,322,0
141,theguardian.com,Charlie Hebdo attack: what we know so far  – live updates http://t.co/FzR7qMoeKB @claire_phipps http://t.co/YDuMHPAHrt,285,0
142,thinksecurity.org,"Instead of focusing on the recent dead in Paris, we should keep in mind that Islamists have committed 24,784 deadly attacks since 9/11.",208,0
143,hscentre.org,You can twist and turn it as you like: Publishing cartoons is not a crime. Using them as an excuse for religious fascism is. #CharlieHebdo,178,0
144,kenanmalik.wordpress.com,"Third thought: defending the rights that Charlie Hebdo defended means defending free speech, not attacking Muslims.",109,0
145,hotair.com,"BBC reporter noting that Charlie Hebdo also mocks Christians, Jews and atheists. Oddly, though, those groups don't seem to bomb them.",152,0
146,selfstyledsiren.blogspot.com,My family is French. My family is Muslim. I am a journalist. We are grieving. #CharlieHebdo,413,0
147,cpj.org,"Press ""must stand together to send the message that murderous attempts to silence us will not stand"" #CharlieHebdo http://t.co/aiF9kVv9hw",388,0
148,freightbooks.co.uk/neil-mackay.ht…,Simply put by our French colleagues in solidarity with the journalists of #CharlieHebdo http://t.co/mXwAsi2N4S,172,0
149,sonaliranade.com,"Let there be more, not less.  #CharlieHebdo http://t.co/Ut4yuxi30O",218,0
150,RT.com,"#CHARLIEHEBDO SHOOTING: Gunmen still at large, manhunt underway - LIVE UPDATES http://t.co/3Jsosc7yl3 http://t.co/LzCuCBqQP8",180,0
151,newhumanist.org.uk,"Our statement on the Charlie Hebdo attack: defend freedom of speech, resist hatred. https://t.co/1Ok61nfRwj",105,0
152,yairrosenberg.com,How the terrorists win: @Telegraph is now blurring the cover Mohammed cartoon of #CharlieHebdo in its reporting http://t.co/DffGzIrQZI,3742,0
153,indexoncensorship.org,"Freedom of expression is non-negotiable - http://t.co/c8Fm7F6c1k via @IndexCensorship
#jesuischarlie",109,0
154,favstar.fm/users/MadAxes,"When free speach die, we die. All thoughts to #CharlieHebdo who on this issue wrote ""Love is stronger than hate"" http://t.co/IizcmJJVOD",165,0
155,pressahmadiyya.com,The Ahmadiyya Muslim Community categorically condemns the attack at Charlie Hebdo. Our thoughts are with the victims: http://t.co/kTsWb7SNaA,177,0
156,theguardian.com,"A brief history of Charlie Hebdo, the satirical magazine at the centre of today's terror attack in Paris http://t.co/mewhhD9cOm #paris",308,0
157,youtube.com/user/GLove39,"The world would be a far better place if all religious fanatics followed this advice
#CharlieHebdo http://t.co/HD43ebNTbT",2570,0
158,sukh.co,Please don't watch or share the video of  execution of a policeman. Spare a thought for his family and all innocents killed. #CharlieHebdo,447,0
159,wan-ifra.org,World’s Press Condemns Attack Against #CharlieHebdo #jesuischarlie http://t.co/Jyfjz7noMG http://t.co/2xeKhgGily,100,0
160,TarekFatah.com,". 
                 Take a stand and RT:

                  I am #CharlieHebdo
                  I am #CharlieHebdo http://t.co/OpdN8c5VQo",873,0
161,euronews.com,"#CharlieHebdo: Angela Merkel says shooting in France is not only attack on French citizens, but on freedoms of press and speech (@Reuters)",101,0
162,acpo.police.uk,"Thoughts with those affected by #CharlieHebdo attack, particularly those brave #police colleagues killed in the line of duty. #policefamily",108,0
163,theguardian.com,Map showing the location of the #CharlieHebdo offices and the direction the attackers fled http://t.co/N28zmSCwVV http://t.co/q9EYxtcjJy,172,0
164,skynews.com,France is at its highest possible terror threat level after the #CharlieHebdo attack. http://t.co/1z7NtGWe5i http://t.co/kopINQNwfj,198,0
165,nytimes.com/cohen,"I am shaking with rage at the attack on Charlie Hebdo. It's an attack on the free world. The entire free world should respond, ruthlessly.",524,0
166,mariamveiszadeh.com,"Stop hijacking our faith you crazed murderers!

Thoughts and prayers with victims &amp; their families.

 #Charliehebdo",243,0
167,el-baghdadi.com,Either we insist to coexist or we're all going to lose. #CharlieHebdo,295,0
168,bit.ly/BenjaminWeinth…,Best journalistic answer to terrorist attack on #CharlieHebdo is for news outlets to publish #CharlieHebdo cartoons on  websites/front pages,398,0
169,newstatesman.com,"Charlie Hebdo, the magazine that dared to poke fun at religion http://t.co/L5wXIOOr2p http://t.co/SpDK2rMW4K",105,0
170,about.me/birgitta,"George Orwell: “If liberty means anything at all, it means the right to tell people what they do not want to hear."" #CharlieHebdo",343,0
171,NBCNews.com,Paris terror attack: What you need to know about Charlie Hebdo http://t.co/aEwtP48NRb http://t.co/qwCz9DpYW8,214,0
172,wsj.com/review,"""I have never once in my life seen a fanatic with a sense of humor."" --Amos Oz #CharlieHebdo",111,0
173,thedailybeast.com,"#CharlieHebdo editor wasn't afraid: ""If [extremists] are not amused by our cartoons, they don't need to buy"" them. http://t.co/SOlqU6kJ7b",165,0
174,alde.eu,A tragic day for the freedom of speech #jesuischarlie http://t.co/ZkIOXpHeSq,570,0
175,cnn.com/video,Video shows gunmen in #Paris execute police officer and drive away: http://t.co/ehnpb4lVQ8 #CharlieHebdo http://t.co/i5AskWWcW7,591,0
176,telegraph.co.uk,#CharlieHebdo attack: terrified witness films masked gunmen shooting man on pavement http://t.co/4K2F98Q4JT http://t.co/LwggGQP0Ao,135,0
177,buzzfeed.com,"#JeSuisCharlie trends as social media users express solidarity over Charlie Hebdo attack
http://t.co/4obxI0pj01 http://t.co/eJxcBHyPkE",215,0
178,simonprice.dj,Every paper or magazine ON EARTH should reprint Charlie Hebdo's 'offending' cartoon tomorrow. They haven't got enough bullets for all of us.,418,0
179,wsj.com,Shooting at Paris office of #CharlieHebdo magazine ranks as one of the deadliest attacks on Paris in 20 years. http://t.co/hyX5zWvaK2,261,0
180,theguardian.com,Fight intimidation with controversy: #CharlieHebdo’s response to critics http://t.co/skrY35Fsm1 http://t.co/C5x9C9rCeG,261,0
181,presidentofIndia.nic.in,Strongly condemn the terrorist attack on media office in Paris; terror &amp; violence have no place in any corner of world #PresidentMukherjee,256,0
182,benjaminshapiro.com,So when do Barack Obama and Hillary Clinton recommend we arrest the rest of the Charlie Hebdo staff for inciting Islamic violence?,315,0
183,shumyla.com,"The pen is mightier than the sword, and the cowards were afraid of it. So don't stop writing. #JeSuisCharlie #CharlieHebdo",217,0
184,shashankjoshi.wordpress.com,"#CharlieHebdo  journalist: ""We want to laugh at the extremists—every extremist. They can be Muslim, Jewish, Catholic"" http://t.co/TZlKXk6dEi",201,0
185,bbc.co.uk/news,Video posted online appears to show gunmen fleeing after attack on #CharlieHebdo  magazine office in Paris http://t.co/bEri7HY51w,562,0
186,theguardian.com,French forensic experts examine car used by armed gunmen who stormed offices of Charlie Hebdo http://t.co/ZINBZEnyAI http://t.co/DqZDx0gkHO,190,0
187,libyaliberty.tumblr.com,"As a Muslim, I absolutely refuse to apologize for this terrorist act. But as a Muslim,I demand justice for the victims&amp; say: #JeSuisCharlie",1537,0
188,haaretz.com,Too many news organisations now showing online footage of killings at #CharlieHebdo office but not the cartoons for which they were murdered,241,0
189,independent.co.uk,French media calling #CharlieHebdo attack the worst attack in France in decades http://t.co/K7ZHV9C27F http://t.co/jju1vgQiii,319,0
190,20committee.com,"Somewhere, Marine Le Pen is planning her presidential inauguration &amp; figuring out where Putin's guest of honor seat will be. #CharlieHebdo",115,0
191,article19.org,The right to offend and satirise is  essential in any society #CharlieHebdo. Our statement: http://t.co/uKbXeqxfYB,102,0
192,hwunar.wordpress.com,"""I do not agree with what you have to say, but I'll defend to the death your right to say it."" -Voltaire 

#JeSuisCharlie",123,0
193,paolo-gregoletto.com,I Support Satirical Cartoons of Religion #CharlieHebdo http://t.co/kNpuLy0aai,317,0
194,comicsandcola.com,"As a Muslim, I find the murder of innocent people more despicable and offensive than any cartoon could ever be. #CharlieHebdo",261,0
195,wsj.com,Photos from the scene of the Paris shooting at #CharlieHebdo office: http://t.co/dqcYAoG2ku http://t.co/mN0eKhoOK2,194,0
196,fabriceroux.com,"@acarvin last #CharlieHebdo cartoon: ""Still no attack in France. Wait! We have 'til january end to send 2015 wishes."" http://t.co/eubg7XJRPd",140,0
